year,category,data_series,value
2009,Gas Type,Hydrofluorocarbons (HFCs),1.0
2009,Gas Type,Perfluorocarbons (PFCs),0.9
2009,Gas Type,Sulphur Hexafluoride (SF6),0.0
2009,Gas Type,Nitrogen Trifluoride (NF3),0.1
2008,Total,Total Greenhouse Gas Emissions,44.1
2008,Gas Type,Carbon Dioxide (CO2),42.0
2008,Gas Type,Methane (CH4),0.2
2008,Gas Type,Nitrous Oxide (N2O),0.3
2008,Gas Type,Hydrofluorocarbons (HFCs),0.8
2008,Gas Type,Perfluorocarbons (PFCs),0.8
2008,Gas Type,Sulphur Hexafluoride (SF6),0.0
2008,Gas Type,Nitrogen Trifluoride (NF3),0.0
2007,Total,Total Greenhouse Gas Emissions,44.5
2007,Gas Type,Carbon Dioxide (CO2),42.6
2007,Gas Type,Methane (CH4),0.2
2007,Gas Type,Nitrous Oxide (N2O),0.3
2007,Gas Type,Hydrofluorocarbons (HFCs),0.7
2007,Gas Type,Perfluorocarbons (PFCs),0.8
2007,Gas Type,Sulphur Hexafluoride (SF6),0.0
2007,Gas Type,Nitrogen Trifluoride (NF3),0.0
2006,Total,Total Greenhouse Gas Emissions,44.6
2006,Gas Type,Carbon Dioxide (CO2),42.0
2006,Gas Type,Methane (CH4),0.2
2006,Gas Type,Nitrous Oxide (N2O),0.3
2006,Gas Type,Hydrofluorocarbons (HFCs),0.6
2006,Gas Type,Perfluorocarbons (PFCs),1.3
2006,Gas Type,Sulphur Hexafluoride (SF6),0.1
2006,Gas Type,Nitrogen Trifluoride (NF3),0.3
2005,Total,Total Greenhouse Gas Emissions,43.1
2005,Gas Type,Carbon Dioxide (CO2),40.7
2005,Gas Type,Methane (CH4),0.1
2005,Gas Type,Nitrous Oxide (N2O),0.3
2005,Gas Type,Hydrofluorocarbons (HFCs),0.5
2005,Gas Type,Perfluorocarbons (PFCs),1.2
2005,Gas Type,Sulphur Hexafluoride (SF6),0.1
2005,Gas Type,Nitrogen Trifluoride (NF3),0.2
2004,Total,Total Greenhouse Gas Emissions,43.9
2004,Gas Type,Carbon Dioxide (CO2),41.8
2004,Gas Type,Methane (CH4),0.1
2004,Gas Type,Nitrous Oxide (N2O),0.3
2004,Gas Type,Hydrofluorocarbons (HFCs),0.4
2004,Gas Type,Perfluorocarbons (PFCs),1.0
2004,Gas Type,Sulphur Hexafluoride (SF6),0.0
2004,Gas Type,Nitrogen Trifluoride (NF3),0.2
2003,Total,Total Greenhouse Gas Emissions,42.3
2003,Gas Type,Carbon Dioxide (CO2),40.3
2003,Gas Type,Methane (CH4),0.2
2003,Gas Type,Nitrous Oxide (N2O),0.3
2003,Gas Type,Hydrofluorocarbons (HFCs),0.3
2003,Gas Type,Perfluorocarbons (PFCs),1.0
2003,Gas Type,Sulphur Hexafluoride (SF6),0.0
2003,Gas Type,Nitrogen Trifluoride (NF3),0.2
2002,Total,Total Greenhouse Gas Emissions,42.3
2002,Gas Type,Carbon Dioxide (CO2),40.8
2002,Gas Type,Methane (CH4),0.1
2002,Gas Type,Nitrous Oxide (N2O),0.3
2002,Gas Type,Hydrofluorocarbons (HFCs),0.3
2002,Gas Type,Perfluorocarbons (PFCs),0.7
2002,Gas Type,Sulphur Hexafluoride (SF6),0.0
2002,Gas Type,Nitrogen Trifluoride (NF3),0.1
2001,Total,Total Greenhouse Gas Emissions,40.6
2001,Gas Type,Carbon Dioxide (CO2),39.3
2001,Gas Type,Methane (CH4),0.1
2001,Gas Type,Nitrous Oxide (N2O),0.3
2001,Gas Type,Hydrofluorocarbons (HFCs),0.2
2001,Gas Type,Perfluorocarbons (PFCs),0.6
2001,Gas Type,Sulphur Hexafluoride (SF6),0.0
2001,Gas Type,Nitrogen Trifluoride (NF3),0.0
2000,Total,Total Greenhouse Gas Emissions,39.7
2000,Gas Type,Carbon Dioxide (CO2),38.3
2000,Gas Type,Methane (CH4),0.1
2000,Gas Type,Nitrous Oxide (N2O),0.3
2000,Gas Type,Hydrofluorocarbons (HFCs),0.1
2000,Gas Type,Perfluorocarbons (PFCs),0.8
2000,Gas Type,Sulphur Hexafluoride (SF6),0.0
2000,Gas Type,Nitrogen Trifluoride (NF3),0.1
